139,0,0,merah
204,22,0,merah
206,0,25,merah
220,0,3,merah
254,0,0,merah
61,13,3,merah
128,24,24,merah
174,32,26,merah
254,0,2,merah
209,23,23,merah
255,255,0,kuning
255,242,39,kuning
249,217,94,kuning
252,234,4,kuning
255,183,9,kuning
247,224,23,kuning
254,242,0,kuning
246,191,39,kuning
255,215,12,kuning
255,166,0,yellow
159,217,140,hijau
125,194,75,hijau
37,202,38,hijau
0,166,82,hijau
64,189,85,hijau
0,128,1,hijau
35,67,17,hijau
123,252,1,hijau
0,255,0,hijau
33,83,54,hijau
125,232,88,hijau
252,79,19,oranye
255,102,0,oranye
255,127,0,oranye
255,128,0,oranye
255,103,0,oranye
255,122,1,oranye
254,101,33,oranye
255,153,0,oranye
255,103,0,oranye
249,255,241,putih
253,251,251,putih
242,233,228,putih
242,233,228,putih
250,240,230,putih
243,239,227,putih
255,237,231,putih
229,224,221,putih
248,249,254,putih
238,228,220,putih
9,0,0,hitam
28,29,33,hitam
27,32,35,hitam
36,29,33,hitam
0,0,0,hitam
49,54,57,hitam
47,47,47,hitam
40,39,45,hitam
37,37,37,hitam
10,18,13,hitam
28,28,28,hitam
3,91,188,biru
1,119,193,biru
0,0,254,biru
0,0,255,biru
0,0,124,biru
0,0,154,biru
